question,reference_answer,generated_answer,rouge1_f,rouge2_f,rougeL_f
"What's the mass of the interstellar neighborhood of the Sun?

What's approximatively the mass of the interstellar neighborhood of the Sun ?

(for exam","You don't have to guesstimate to come up with the answer.

What you do is look at the dynamics of stars with respect to the Galactic plane - in particular, the velocity dispersions of stars with known distances from the plane, combined with a reasonable assessment of where the Sun is with respect to","The total mass in the solar neighborhood is about $1 \times 10^{43}$ kg.

This estimate comes from this paper (see also this one), which provides an estimate for the total stellar mass in the Milky Way as well as the number density of stars and gas within various radii:

Figure 2 shows that there is",0.229,0.07,0.131
"At what rate is the observable universe expanding?

The observable universe is $4.4 \times 10^{26} m $ in every direction. I told this to my daughter ","How fast does the observable Universe grow?

The observable Universe is $r = 46.3\,\mathrm{Glyr}$ (billion light-years) in radius, so by Hubble's law, galaxies at that distance recede from us at a speed
$$
v_\mathrm{rec} = H_0\,r = 9.6\times10^5\,\mathrm{km}\,\mathrm{s}^{-1},
$$
or $3.2$ times the s","The distance between any two points in space increases at a rate equal to the Hubble parameter times time. So if you have an object moving away from us at some constant velocity $v$ then the distance between us will increase at a rate of $v$. For example, if we look out into deep space towards Andro",0.159,0.021,0.076
"Strange speck of light in the picture sequence of the approach to 2014 Mu69 (Ultima Thule)

In the picture sequence which was taken by New Horizons du","It's probably a cosmic ray strike, a common artifact on New Horizons images.  The image, however, is of very poor quality which makes it difficult to analyse the exact nature of the spot.  I'll go into this more  at the end of the answer.

Possibilities:

Cosmic ray hit

A common occurance (see belo","The speck appears to be a star, but it's so faint that you're having trouble seeing it. The stars are usually very dim compared to the background sky, so they appear brighter than they really are when they are close to the horizon. It also looks like it has a reddish tint because its apparent magnit",0.164,0.032,0.094
"Which wavelength is the most quiet, for a ground-based radio telescope?

This might seem like a backwards question, but I'm interested in what wavelen","You may be looking for the ""water hole"". See http://www.setileague.org/general/waterhol.htm.","The answer depends on your definition of ""quiet"". If you're only concerned about background noise that's not caused by the atmosphere then the shortest wavelengths will do just fine. However if you want to avoid any kind of signal-to-noise ratio degradation due to atmospheric effects then the longer",0.056,0.0,0.037
"Why are sometimes the brightest star of a constellation not named alpha?

From the Wikipedia page of Alpha Ursae Majoris:

Alpha Ursae Majoris, Latini","It's true that stars are lettered in order of brightness. So, in a constellation the brightnest star is (Alpha), the second brightest (Beta) and so on. That is why most of the First Magnitude Stars are designated Alpha and a few are designated Beta. But there are cases where stars in a constellation","There's no reason why an astronomer would name a bright star after the brightest star in its constellation if they wanted to be consistent. It may have been a mistake or just because someone didn't look closely enough to see that a brighter star was actually present.

The difference between these tw",0.321,0.045,0.134
"Are Tharsis Montes and Hellas Basin a result of the same event?

Looking at Mars map:

the highest, biggest mountains and their associated highlands a","Are Tharsis Montes and Hellas Basin a result of the same event?

You were not the first to have seen that the Hellas Basin and parts of the Tharsis Rise are roughly antipodal (Peterson 1978, Williams and Greeley 1994). The Tharsis Montes themselves are far too close to the equator to be considered a",The impact hypothesis is one possible scenario for the formation of Tharsis Mons. It's also been suggested that Tharsis may have formed from the collapse of a large volcano. See here for more details on both scenarios. The key point in these hypotheses is that they all require a large amount of ener,0.207,0.024,0.111
"How will several thousand Low Earth Orbit satellites affect the night sky?

SpaceX has unveiled its plans to launch a bunch of satellites into the Low","tl;dr This is a really good question, and the implications for ground-based astronomers of various wavelengths are sobering.

Here's an example. The constellation described in SpaceX's 4,425 satellite constellation - what's the method to the madness? might even end up with more satellites now. From ","The answer depends on how many you can put up without colliding with each other.

A good rule of thumb is that the number of objects per area is proportional to the square root of their size.

So let's say we have a large space station orbiting in LEO, 36 km above ground level. We want to estimate h",0.164,0.038,0.079
"Why were blood and hair follicles from 25 people put on the Moon?

The Wired.com article A Crashed Israeli Lunar Lander Spilled Tardigrades on the Moo","Nova Spivack explained in a tweet:

We sent enough DNA to regenerate  life on Earth, if necessary. Although it would require more advanced biotech than we have to do that. At least our DNA is offsite now. But note that cells & DNA cannot survive or reproduce on the Moon. Yet if retrieved they could ","This is probably one of those cases where we just don't know what happened, because nobody can actually test if the sample has any value beyond a curiosity factor.

We do know that the Apollo program did indeed collect DNA from astronauts during pre-flight tests. It wasn't stored anywhere near the m",0.229,0.014,0.143
"What was the Shuttle Carrier Aircraft escape tunnel?

The Wikipedia article for the Shuttle Carrier Aircraft mentions an escape tunnel:

The avionics ","Addressing the ""Are there pictures?"" part of the question.

From the Space Shuttle Orbiter Approach and Landing Test Final Evaluation Report","It seems like you're asking two different questions.

First question - what is the shuttle carrier aircraft escape tunnel?

It is just a part of the shuttle carrier aircraft which has been installed as a safety measure. It consists of three parts:

Escape capsule

Escape tower

Escape chute

Second ",0.173,0.078,0.154
"How did the Apollo Service Module reenter?

I always assumed that after the Apollo Command Module separated from the Service Module, the SM was effect",The SM left to its own has no onboard computer and no control. On jettison it would fire its roll thrusters for five seconds and its -X thrusters until fuel depletion (up through Apollo 11) or for 25 seconds (Apollo 12 and later). This was accomplished by very simple timer circuits. The sole purpose,The Service Module is an independent vehicle. It has thrusters and can operate independently. The crew would have had no way of knowing what was happening with it. There were no communications between the command module and service module; there was no radio link between them. The crew could not tel,0.286,0.0,0.163
"When Chang'e-3 landed on the moon, did LADEE notice?

The Lunar Atmosphere and Dust Environment Explorer (LADEE) entered lunar orbit 2013-10-06, and C","It did perform the observations, but nothing was detected. Here is an article that covers this

Surprisingly, the LADEE science teams' preliminary evaluation of the
  data has not revealed any effects that can be attributed to Chang'e 3.
  No increase in dust was observed by LDEX, no change was seen","It seems that LADEE will not be able to continue its observations due to the impact of the Chang'e 3 probe.

From NASA's press release:

NASA’s Lunar Atmosphere and Dust Environment Explorer (LAD-Ee) will no longer have the ability to make critical scientific measurements because the Chinese lunar o",0.344,0.042,0.167
"How close to Guam did China's recent Long March 5's first stage fall?

Jonathan McDowell'sTweet and Tweet say

Two objects cataloged from the CZ-5 lau","@uhoh pointed to a tweet by LaunchStuff that shows images of what appear to be several Chinese notices to airmen (NOTAMs).  (Weirdly, I can't find the originals of those; they don't seem to be in the international airman notification system, nor the corresponding system for notices to mariners)  The","It fell about 15km above the island of Guam:

https://www.cbsnews.com/2300-10021077_1-72668275-5/cz-5-launch-returns-to-the-sea/

There was an interesting discussion in the comments as well.

This is the map from NASA showing where all the debris fell:

https://nssdc.gsfc.nasa.gov/planetary/satellit",0.116,0.014,0.082
"Crab Nebula Time Period

I've learned that the time period for a rotating neutron star, i.e., a pulsar is very accurate and can be used as an interste","All pulsars are observed to slow down gradually,albeit with a wide range of rates.The following diagram,known as the $\dot{P}-P$ diagram for pulsars illustrates this.The crab pulsar yes indeed would be a bad choice as a clock due to it's high $\dot{P}$.

But there are pulsars to the bottom left of t","The pulsar was not observed at the exact same moment each day - it is slightly delayed.

In fact, this delay is so large that you would need a very good telescope to observe it with any precision. The delay is due to the fact that the Earth has rotated during the time between observations. A simple ",0.232,0.032,0.136
"What is the distance that the Moon travels during one orbit around the Earth?

Also, does it always take the same amount of time, or does it fractiona","The Moon has an orbital eccentricity of 0.0549, so its path around the Earth is not perfectly circular and the distance between the Earth and the Moon will vary from the Earth's frame of reference (Perigee at 363,295 km and apogee at 405,503 km), see for example second animation explaining Lunar lib","The moon's orbital period (the time it takes to complete an orbit) varies because the moon's velocity changes over time as it orbits the earth.

It starts off at 1863 km/s, but then slows down due to tidal friction and eventually comes to rest with respect to the center of mass of the earth-moon sys",0.312,0.089,0.168
"Where might astrometric observations of the Roadster spacecraft be catalogued?

above: (see small red lines near center of image) Tesla Roadster. 18 F","The Minor Planet Center inconspicuously puts this under ""Distant Artificial Satellites Observation.""
DASO Circulars 561-566 have observations of the roadster 2018-017A.
It's also on the short list of artificial objects for which MPC can generate ephemerides.","I think you're correct that there isn't currently a dedicated catalogue for such objects; they aren't classified as ""minor planets"" (the class they're assigned to).

However, the Minor Planet Center does maintain a list of all asteroids that were discovered between 1998 and 2010. If we search for ""t",0.233,0.119,0.155
"What does the software quality process for NASA's SLS look like?

What does the software quality process for NASA's SLS look like? What are the releva","I have retrieved via FOIA request the ""Space Launch System Program (SLSP), Flight Software Application, Software Assurance Plan (SAP)"". It is the core document describing the software development processes for the Flight computer (the bit responsible for on-pad prelaunch, launch, and ascent of the S","NASA has published the Software Quality Assurance (SQA) plan.

The SQA plan covers:

Software development

Test planning and execution

Validation and verification

Quality assurance management

Product documentation

Training

In addition, there are two supporting documents:

Requirements Managemen",0.236,0.061,0.128
"White dwarf's impact on orbiting bodies

Recently the Kepler telescope in its study of white dwarfs detected the first planetary object transiting a w","I think Aabaakawad's link gives a complete answer, but to give an astronomy for dummies answer, there's nothing about a white dwarf that causes a planet's orbit to decay at least, not directly.  Your article (I've pulled quote below the caption):

Slowly the object will disintegrate, leaving a dusti","A planet orbiting a white dwarf will be pulled into the star via tidal forces due to its proximity to the star and the strong gravity of the star. This process can take place within 10-50 million years, which is much shorter than the age of the sun, meaning this could happen before the sun becomes a",0.105,0.037,0.066
"How was ""Space Ram"" (instant ramen noodles) prepared and eaten on the Space Shuttle?

The BBC Witness Podcast The Invention of Instant Noodles mention","Like many dehydrated space foods, it's prepared by injecting hot water through a port in an otherwise sealed bag, manually mixing it by massaging the bag, and waiting a few minutes; the noodles are thinner than typical instant noodles so that moderately hot (instead of boiling) water can soften them","The original Space Ram recipe was made using water as its liquid base. This recipe would have been adapted for use in the Space Shuttle's microgravity environment; however, the microgravity environment caused the water to freeze into ice crystals. These ice crystals were too small and dense to sink ",0.19,0.016,0.095
"Exoplanet hunters ignored or ridiculed in the 1980s or 1990s?

I recently came across this youtube video, in which a few people are singing about the ","Everyone expected exoplanets to exist - there was no reason to suppose that the conditions that existed when the sun formed were unique, and we knew that multiple star systems were common. Newton wrote ""And if the fixed stars are the centres of similar systems, they will all be constructed according","Yes, but it's not just because they didn't have telescopes like we do today and weren't using advanced technology. There was also a lack of funding for space missions at that time.

In the book ""The Search For Other Earths"" (2014) authors Alan Boss and Jack Wherry discuss this:

Astronomers had been",0.265,0.049,0.132
